Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00681811822788861,-3.84661812128772E-05,-0.00222513864249343,0,0,0,0.376490676794725,0.000319399106891007,2.99379868832311E-07,-1.85942042630127E-05,0.000809102760149014,4.86278416734269E-08,0.00105347989085106,0,0,0,0,0,0,package://Onland1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Onland1/meshes/base_link.STL,,BackShellV1-1;ChassisV1_0-1;Shield_Low-1;单轴舵机.step-1;单轴舵机.step-2;单轴舵机.step-11;单轴舵机.step-10;Arduino-1;PCA9685 v18.step-1,fundamental_axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Front_right1,0.00808052162964917,0.0449217979633324,-0.00321309252710611,0,0,0,0.0478422027217928,1.07549991205532E-05,-1.06732554744789E-06,-7.7730357900512E-08,1.15165207395343E-05,-1.85188487393681E-06,1.53961637057992E-05,0,0,0,0,0,0,package://Onland1/meshes/Front_right1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Onland1/meshes/Front_right1.STL,,Ass servo-1;FrontLegV1_0-1;单轴舵机.step-6,front_right1_axis,front_right1,Front_right1_joint,revolute,0.065905120563842,-0.0384605776591281,0.0289999999999999,0,0,-2.90426571688811,base_link,0,0,-1,0,0,-0.7854,0.7854,,,,,,,,
Front_right2,-0.021021848093744,-0.0218401305507092,-0.00741623880370179,0,0,0,0.0283675634219841,8.54340601443015E-06,-6.30807167420187E-06,1.97748599968732E-07,2.49526631308493E-05,-4.9472797372268E-07,3.28648052987208E-05,0,0,0,0,0,0,package://Onland1/meshes/Front_right2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Onland1/meshes/Front_right2.STL,,Ass servo-3;FrontLeg2V2-1,front_right2_axis,front_right2,Front_right2_joint,revolute,0,0.0420569075591256,-0.020373716882811,0.698131700797741,0,3.14159265358979,Front_right1,0,0,1,0,0,-0.2618,0.2618,,,,,,,,
Back_right1,-0.00871373127566328,-0.0361267566394633,-0.0130527181254355,0,0,0,0.0471003387502271,8.9391808159085E-06,-8.30184045883693E-07,-1.32782544003822E-07,1.22306184558657E-05,7.45041910577434E-07,1.41312593703319E-05,0,0,0,0,0,0,package://Onland1/meshes/Back_right1.STL,1,1,1,1,0,0,0,0,0,0,package://Onland1/meshes/Back_right1.STL,,BackLeg1-1;单轴舵机.step-5;Ass servo-5,back_right1_axis,back_right1,Back_right1_joint,revolute,-0.0837677595780109,-0.0400835603852042,0.0290000000000001,0,0,-0.554759974652648,base_link,0,0,-1,0,0,-0.7854,0.7854,,,,,,,,
Back_right2,-0.0341711377701623,-0.0241171820068243,0.001154975874834,0,0,0,0.00999009765522167,2.08331821365722E-06,-1.50841082576915E-06,5.84770980252225E-08,3.79958639798917E-06,-6.85144283002588E-08,5.7805743959628E-06,0,0,0,0,0,0,package://Onland1/meshes/Back_right2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Onland1/meshes/Back_right2.STL,,Ass servo-4;BackLeg2-1,back_right2_axis,back_right2,Back_right2_joint,revolute,0.0225373319057556,-0.0205582947794068,-0.0323466257195996,0.698131700797726,0,0,Back_right1,0,0,1,0,0,-0.2618,0.2618,,,,,,,,
Front_left1,0.00808052159056422,-0.0449213462125582,-0.00321271349754684,0,0,0,0.0478422028624038,1.07549991380887E-05,1.06753850252779E-06,-7.755171013591E-08,1.15158632373778E-05,1.85200083864815E-06,1.53968212885557E-05,0,0,0,0,0,0,package://Onland1/meshes/Front_left1.STL,1,1,1,1,0,0,0,0,0,0,package://Onland1/meshes/Front_left1.STL,,镜向FrontLegV1_0-2;Ass servo-2;单轴舵机.step-8,front_left1_axis,front_left1,Front_left1_joint,revolute,0.065905120563842,0.0384605776591282,0.0289999999999999,0,0,2.90426571688811,base_link,0,0,-1,0,0,-0.7854,0.7854,,,,,,,,
Front_left2,0.0210209202048704,-0.0218404061543293,-0.0074163348118039,0,0,0,0.0283694753081617,8.5444443168284E-06,6.30748532171341E-06,-1.97842747109685E-07,2.4952474398111E-05,-4.94861686000644E-07,3.28655979189005E-05,0,0,0,0,0,0,package://Onland1/meshes/Front_left2.STL,1,1,1,1,0,0,0,0,0,0,package://Onland1/meshes/Front_left2.STL,,镜向Ass servo-5;镜向FrontLeg2V2-2,front_left2_axis,front_left2,Front_left2_joint,revolute,0,-0.0420569075591256,-0.020373716882811,0.698131700797741,0,0,Front_left1,0,0,1,0,0,-0.2618,0.2618,,,,,,,,
Back_left1,-0.00871373127063055,0.0361262978079295,-0.0130523331260205,0,0,0,0.047100338766454,8.93918081866271E-06,8.30396963317425E-07,-1.32961197398557E-07,1.22299609471971E-05,-7.45157850972274E-07,1.41319168895854E-05,0,0,0,0,0,0,package://Onland1/meshes/Back_left1.STL,1,1,1,1,0,0,0,0,0,0,package://Onland1/meshes/Back_left1.STL,,镜向BackLeg1-2;Ass servo-6;单轴舵机.step-12,back_left1_axis,back_left1,Back_left1_joint,revolute,-0.0837677595780109,0.0400835603852042,0.0290000000000001,0,0,0.554759974652648,base_link,0,0,-1,0,0,-0.7854,0.7854,,,,,,,,
Back_left2,-0.00273750917277035,0.0417326564161763,0.00115414123659353,0,0,0,0.00999226374716188,4.59509751436122E-06,5.23970897600539E-07,9.01736609617561E-08,1.28722119013764E-06,-2.45268383708239E-09,5.77989744315876E-06,0,0,0,0,0,0,package://Onland1/meshes/Back_left2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Onland1/meshes/Back_left2.STL,,Ass servo-7;镜向BackLeg2-2,back_left2_axis,back_left2,Back_left2_joint,revolute,0.0225373319057557,0.0205582947794068,-0.0323466257195996,-0.485580480160512,0.523309333004977,0.758177666057813,Back_left1,0,0,1,0,0,-0.2618,0.2618,,,,,,,,
Sensor_link,-2.25214372452731E-05,0.103607028948444,-0.00174327710854269,0,0,0,0.656382274118652,0.00398589796619268,6.81523498247126E-07,7.5942173311683E-08,0.00261594481266056,4.49451871288875E-05,0.00597901119561345,0,0,0,0,0,0,package://Onland1/meshes/Sensor_link.STL,1,1,1,1,0,0,0,0,0,0,package://Onland1/meshes/Sensor_link.STL,,,Sensor,sensor_,sensor,fixed,0.0975,0,0.005,0,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
